,nodes,images,perturbed,times-took,hamming,per_perturbed
0,1,1,1,1,1,10
1,1,2,1,1,1,10
2,2,1,1,10,1,10
3,2,2,1,10,1,10
4,3,1,1,2,3,10
5,3,2,1,1,0,10
6,4,1,1,1,0,10
7,4,2,1,1,0,10
8,5,1,1,1,0,10
9,5,2,1,1,0,10
10,6,1,1,1,0,10
11,6,2,1,1,0,10
12,7,1,1,1,0,10
13,7,2,1,1,0,10
14,8,1,1,1,0,10
15,8,2,1,1,0,10
16,9,1,1,1,0,10
17,9,2,1,1,0,10
18,10,1,1,1,0,10
19,10,2,1,1,0,10
20,11,1,1,1,0,10
21,11,2,1,1,0,10
22,12,1,1,1,0,10
23,12,2,1,1,0,10
24,13,1,1,1,0,10
25,13,2,1,1,0,10
26,14,1,1,1,0,10
27,14,2,1,1,0,10
28,15,1,1,1,0,10
29,15,2,1,1,0,10
30,15,3,1,1,0,10
31,16,1,1,1,0,10
32,16,2,1,1,0,10
33,16,3,1,1,0,10
34,17,1,1,1,0,10
35,17,2,1,1,0,10
36,17,3,1,1,0,10
37,18,1,1,1,0,10
38,18,2,1,1,0,10
39,18,3,1,1,0,10
40,19,1,1,1,0,10
41,19,2,1,1,0,10
42,19,3,1,1,0,10
43,20,1,2,1,0,10
44,20,2,2,1,0,10
45,20,3,2,1,0,10
46,20,4,2,1,0,10
47,21,1,2,1,0,10
48,21,2,2,1,0,10
49,21,3,2,1,0,10
50,21,4,2,1,0,10
51,22,1,2,1,0,10
52,22,2,2,1,0,10
53,22,3,2,1,0,10
54,22,4,2,1,0,10
55,23,1,2,1,0,10
56,23,2,2,1,0,10
57,23,3,2,1,0,10
58,23,4,2,1,0,10
59,24,1,2,1,0,10
60,24,2,2,1,0,10
61,24,3,2,1,0,10
62,24,4,2,1,0,10
63,25,1,2,1,0,10
64,25,2,2,1,0,10
65,25,3,2,1,0,10
66,25,4,2,1,0,10
67,25,5,2,1,3,10
68,26,1,2,1,0,10
69,26,2,2,1,0,10
70,26,3,2,1,0,10
71,26,4,2,1,0,10
72,26,5,2,4,0,10
73,27,1,2,1,0,10
74,27,2,2,1,0,10
75,27,3,2,1,0,10
76,27,4,2,1,0,10
77,27,5,2,1,0,10
78,28,1,2,1,0,10
79,28,2,2,1,0,10
80,28,3,2,1,0,10
81,28,4,2,1,0,10
82,28,5,2,1,0,10
83,29,1,2,1,0,10
84,29,2,2,1,0,10
85,29,3,2,1,0,10
86,29,4,2,1,0,10
87,29,5,2,1,0,10
88,30,1,3,1,0,10
89,30,2,3,1,0,10
90,30,3,3,1,0,10
91,30,4,3,1,0,10
92,30,5,3,1,0,10
93,30,6,3,1,0,10
94,31,1,3,1,0,10
95,31,2,3,1,0,10
96,31,3,3,1,0,10
97,31,4,3,1,0,10
98,31,5,3,1,0,10
99,31,6,3,1,0,10
100,32,1,3,1,0,10
101,32,2,3,1,0,10
102,32,3,3,1,0,10
103,32,4,3,1,0,10
104,32,5,3,1,0,10
105,32,6,3,1,0,10
106,33,1,3,1,0,10
107,33,2,3,1,0,10
108,33,3,3,1,0,10
109,33,4,3,1,0,10
110,33,5,3,1,0,10
111,33,6,3,1,0,10
112,34,1,3,1,0,10
113,34,2,3,1,0,10
114,34,3,3,1,0,10
115,34,4,3,1,0,10
116,34,5,3,2,0,10
117,34,6,3,1,0,10
118,35,1,3,1,0,10
119,35,2,3,1,0,10
120,35,3,3,1,0,10
121,35,4,3,1,0,10
122,35,5,3,1,0,10
123,35,6,3,1,0,10
124,35,7,3,1,0,10
125,36,1,3,1,0,10
126,36,2,3,1,0,10
127,36,3,3,1,0,10
128,36,4,3,1,0,10
129,36,5,3,1,0,10
130,36,6,3,10,1,10
131,36,7,3,1,0,10
132,37,1,3,1,0,10
133,37,2,3,1,0,10
134,37,3,3,1,0,10
