,nodes,images,perturbed,times-took,hamming,per_perturbed,wrong
0,1,1,1,1,0,10,0.0
5,4,2,1,1,0,10,0.0
7,5,2,1,1,0,10,0.0
9,6,2,1,1,0,10,0.0
11,7,2,1,1,0,10,0.0
13,8,2,1,1,0,10,0.0
16,9,3,1,1,0,10,0.0
19,10,3,1,1,0,10,0.0
22,11,3,1,1,0,10,0.0
26,12,4,1,1,0,10,0.0
30,13,4,1,1,0,10,0.0
34,14,4,1,1,0,10,0.0
39,15,5,1,1,0,10,0.0
44,16,5,1,1,0,10,0.0
49,17,5,1,1,0,10,0.0
55,18,6,1,1,0,10,0.0
60,19,5,1,1,0,10,0.0
67,20,6,2,1,0,10,0.0
73,21,6,2,1,0,10,0.0
81,22,7,2,1,0,10,0.0
87,23,6,2,1,0,10,0.0
95,24,7,2,2,0,10,0.0
101,25,5,2,1,0,10,0.0
110,26,8,2,2,0,10,0.0
114,27,4,2,1,0,10,0.0
121,28,6,2,1,0,10,0.0
129,29,7,2,1,0,10,0.0
138,30,8,3,1,0,10,0.0
147,31,8,3,1,0,10,0.0
156,32,8,3,1,0,10,0.0
166,33,9,3,1,0,10,0.0
174,34,7,3,1,0,10,0.0
182,35,7,3,1,0,10,0.0
189,36,6,3,1,0,10,0.0
198,37,8,3,2,0,10,0.0
209,38,10,3,1,0,10,0.0
219,39,9,3,1,0,10,0.0
229,40,9,4,1,0,10,0.0
241,41,11,4,1,0,10,0.0
252,42,10,4,2,0,10,0.0
262,43,9,4,1,0,10,0.0
272,44,9,4,1,0,10,0.0
282,45,9,4,1,0,10,0.0
290,46,7,4,1,0,10,0.0
300,47,9,4,4,0,10,0.0
312,48,11,4,4,0,10,0.0
319,49,6,4,1,0,10,0.0
330,50,10,5,1,0,10,0.0
338,51,7,5,1,0,10,0.0
347,52,8,5,1,0,10,0.0
357,53,9,5,1,0,10,0.0
368,54,10,5,1,0,10,0.0
382,55,13,5,1,0,10,0.0
396,56,13,5,2,0,10,0.0
408,57,11,5,2,0,10,0.0
418,58,9,5,1,0,10,0.0
428,59,9,5,1,0,10,0.0
438,60,9,6,2,0,10,0.0
449,61,10,6,1,0,10,0.0
456,62,6,6,1,0,10,0.0
468,63,11,6,1,0,10,0.0
481,64,12,6,1,0,10,0.0
494,65,12,6,2,0,10,0.0
506,66,11,6,1,0,10,0.0
520,67,13,6,1,0,10,0.0
