,nodes,images,perturbed,times-took,hamming
0,12,1,1,1,0
1,12,2,1,1,0
2,13,1,1,1,0
3,13,2,1,1,0
4,14,1,1,1,0
5,14,2,1,1,0
6,15,1,1,1,0
7,15,2,1,1,0
8,16,1,1,1,0
9,16,2,1,1,0
10,17,1,1,1,0
11,17,2,1,1,0
12,18,1,1,1,0
13,18,1,2,1,0
14,18,2,1,1,0
15,18,2,2,1,0
16,18,3,1,1,0
17,18,3,2,1,0
18,19,1,1,1,0
19,19,1,2,1,0
20,19,2,1,1,0
21,19,2,2,1,0
22,19,3,1,1,0
23,19,3,2,1,0
24,20,1,1,1,0
25,20,1,2,1,0
26,20,2,1,1,0
27,20,2,2,1,0
28,20,3,1,1,0
29,20,3,2,1,0
30,21,1,1,1,0
31,21,1,2,1,0
32,21,2,1,1,0
33,21,2,2,1,0
34,21,3,1,1,0
35,21,3,2,1,0
36,22,1,1,1,0
37,22,1,2,1,0
38,22,2,1,1,0
39,22,2,2,1,0
40,22,3,1,1,0
41,22,3,2,1,0
42,23,1,1,1,0
43,23,1,2,1,0
44,23,2,1,1,0
45,23,2,2,1,0
46,23,3,1,1,0
47,23,3,2,1,0
48,24,1,1,1,0
49,24,1,2,1,0
50,24,1,3,1,0
51,24,2,1,1,0
52,24,2,2,1,0
53,24,2,3,1,0
54,24,3,1,1,0
55,24,3,2,1,0
56,24,3,3,1,0
57,24,4,1,1,0
58,24,4,2,1,0
59,24,4,3,2,0
60,25,1,1,1,0
61,25,1,2,1,0
62,25,1,3,1,0
63,25,2,1,1,0
64,25,2,2,1,0
65,25,2,3,1,0
66,25,3,1,1,0
67,25,3,2,1,0
68,25,3,3,1,0
69,25,4,1,1,0
70,25,4,2,1,0
71,25,4,3,1,0
72,26,1,1,1,0
73,26,1,2,1,0
74,26,1,3,1,0
75,26,2,1,1,0
76,26,2,2,1,0
77,26,2,3,1,0
78,26,3,1,1,0
79,26,3,2,1,0
80,26,3,3,1,0
81,26,4,1,1,0
82,26,4,2,1,0
83,26,4,3,1,0
84,27,1,1,1,0
85,27,1,2,1,0
86,27,1,3,1,0
87,27,2,1,1,0
88,27,2,2,1,0
89,27,2,3,1,0
90,27,3,1,1,0
91,27,3,2,1,0
92,27,3,3,1,0
93,27,4,1,1,0
94,27,4,2,1,0
95,27,4,3,1,0
96,28,1,1,1,0
97,28,1,2,1,0
98,28,1,3,1,0
99,28,2,1,1,0
100,28,2,2,1,0
101,28,2,3,1,0
102,28,3,1,1,0
103,28,3,2,1,0
104,28,3,3,1,0
105,28,4,1,1,0
106,28,4,2,1,0
107,28,4,3,1,0
108,29,1,1,1,0
109,29,1,2,1,0
110,29,1,3,1,0
111,29,2,1,1,0
112,29,2,2,1,0
113,29,2,3,1,0
114,29,3,1,1,0
115,29,3,2,1,0
116,29,3,3,1,0
117,29,4,1,1,0
118,29,4,2,1,0
119,29,4,3,1,0
120,30,1,1,1,0
121,30,1,2,1,0
122,30,1,3,1,0
123,30,1,4,1,0
124,30,2,1,1,0
125,30,2,2,1,0
126,30,2,3,1,0
127,30,2,4,1,0
128,30,3,1,1,0
129,30,3,2,1,0
130,30,3,3,1,0
131,30,3,4,1,0
132,30,4,1,1,0
133,30,4,2,1,0
134,30,4,3,1,0
135,30,4,4,1,0
136,30,5,1,1,0
137,30,5,2,1,0
138,30,5,3,1,0
139,30,5,4,2,0
140,31,1,1,1,0
141,31,1,2,1,0
142,31,1,3,1,0
143,31,1,4,1,0
144,31,2,1,1,0
145,31,2,2,1,0
146,31,2,3,1,0
147,31,2,4,1,0
148,31,3,1,1,0
149,31,3,2,1,0
150,31,3,3,1,0
151,31,3,4,1,0
152,31,4,1,1,0
153,31,4,2,1,0
154,31,4,3,1,0
155,31,4,4,1,0
156,31,5,1,1,0
157,31,5,2,1,0
158,31,5,3,1,0
159,31,5,4,1,0
160,32,1,1,1,0
161,32,1,2,1,0
162,32,1,3,1,0
163,32,1,4,1,0
164,32,2,1,1,0
165,32,2,2,1,0
166,32,2,3,1,0
167,32,2,4,1,0
168,32,3,1,1,0
169,32,3,2,1,0
170,32,3,3,1,0
171,32,3,4,1,0
172,32,4,1,1,0
173,32,4,2,1,0
174,32,4,3,1,0
175,32,4,4,1,0
176,32,5,1,1,0
177,32,5,2,1,0
178,32,5,3,1,0
179,32,5,4,1,0
180,33,1,1,1,0
181,33,1,2,1,0
182,33,1,3,1,0
183,33,1,4,1,0
184,33,2,1,1,0
185,33,2,2,1,0
186,33,2,3,1,0
187,33,2,4,1,0
188,33,3,1,1,0
189,33,3,2,1,0
190,33,3,3,1,0
191,33,3,4,1,0
192,33,4,1,1,0
193,33,4,2,1,0
194,33,4,3,1,0
195,33,4,4,1,0
196,33,5,1,1,0
197,33,5,2,1,0
198,33,5,3,1,0
199,33,5,4,1,0
200,34,1,1,1,0
201,34,1,2,1,0
202,34,1,3,1,0
203,34,1,4,1,0
204,34,2,1,1,0
205,34,2,2,1,0
206,34,2,3,1,0
207,34,2,4,1,0
208,34,3,1,1,0
209,34,3,2,1,0
210,34,3,3,1,0
211,34,3,4,1,0
212,34,4,1,1,0
213,34,4,2,1,0
214,34,4,3,1,0
215,34,4,4,1,0
216,34,5,1,1,0
217,34,5,2,1,0
218,34,5,3,1,0
219,34,5,4,1,0
220,35,1,1,1,0
221,35,1,2,1,0
222,35,1,3,1,0
223,35,1,4,1,0
224,35,2,1,1,0
225,35,2,2,1,0
226,35,2,3,1,0
227,35,2,4,1,0
228,35,3,1,1,0
229,35,3,2,1,0
